prevalence,class_sep,overlap,seed,method,classifier,auprc,macro_f1,minority_f1
0.15,2.0,low,4,SepAware-SMOTE,LogisticRegression,0.794560507550843,0.7869915357162877,0.6513761467889908
0.15,2.0,low,4,SepAware-SMOTE,RandomForest,0.9246897537543036,0.9472283911255744,0.9101123595505618
0.15,2.0,low,5,Real only,LogisticRegression,0.7404261359428592,0.8042459975297709,0.6626506024096386
0.15,2.0,low,5,Real only,RandomForest,0.9205648707655274,0.9310567468633555,0.88268156424581
0.15,2.0,low,5,Random oversampling,LogisticRegression,0.7315860419757085,0.7772146940374328,0.6513409961685823
0.15,2.0,low,5,Random oversampling,RandomForest,0.9199541171571033,0.9089381878699385,0.8465608465608465
0.15,2.0,low,5,SMOTE,LogisticRegression,0.7211867918229166,0.774706933332233,0.6459143968871596
0.15,2.0,low,5,SMOTE,RandomForest,0.915490259896746,0.9069940476190477,0.84375
0.15,2.0,low,5,SepAware-SMOTE,LogisticRegression,0.7385423600596663,0.7894017094017094,0.6577777777777778
0.15,2.0,low,5,SepAware-SMOTE,RandomForest,0.9172142178133071,0.9165525504964054,0.8586956521739131
0.15,2.0,low,6,Real only,LogisticRegression,0.8434109401233068,0.8628571428571428,0.7657142857142857
0.15,2.0,low,6,Real only,RandomForest,0.9754416004573392,0.967017744453484,0.9438202247191011
0.15,2.0,low,6,Random oversampling,LogisticRegression,0.8330385575239134,0.8141954663693793,0.7008547008547008
0.15,2.0,low,6,Random oversampling,RandomForest,0.9782550829981318,0.9745498504803716,0.956989247311828
